State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York (City and State),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
Alabama,"8,899",0,0,--,--,0,--,0,0,117,53,0,0,--,0,0,0,--,--,0,--,--,--,0,"1,625",--,0,0,0,0,0,0,--,--,0,--,0,--,--,0,--,0,138,--,0,--,--,0,0,--,0,0,0,0,0,0,0,"10,882"
Alaska,0,"1,878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,"1,938"
Arizona,--,--,"10,020",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,251,0,"10,271"
Arkansas,--,0,0,"3,960",--,--,0,0,--,--,--,0,0,--,--,0,--,0,--,0,0,0,--,0,91,169,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,178,--,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,580"
California**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, -- 
Colorado,0,--,--,0,--,"10,663",0,0,0,--,--,0,--,--,--,0,--,0,--,0,--,0,0,0,0,--,--,72,--,--,--,145,--,--,--,--,--,--,--,0,--,79,--,--,--,--,--,--,--,--,475,0,0,0,0,0,--,"11,598"
Connecticut,0,0,0,0,0,0,"13,270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,"13,732"
Delaware,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, -- 
District of Columbia,0,0,--,0,--,0,0,0,"1,237",--,--,0,0,--,0,0,0,0,0,0,729,--,--,0,0,0,0,0,0,0,--,0,--,--,0,0,0,0,--,0,0,0,0,0,0,0,570,0,--,0,0,0,0,0,0,0,--,"2,596"
Florida**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"81,918"
Georgia,747,0,--,--,--,--,--,--,--,136,"29,830",--,0,--,--,0,--,--,--,--,--,--,--,--,63,--,0,--,--,--,--,0,--,177,--,--,--,0,--,--,"1,293",0,441,--,0,0,--,--,--,--,--,0,0,0,0,0,0,"32,925"
Hawaii,0,0,0,0,--,0,0,0,0,--,--,"3,325",0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,--,0,--,"3,342"
Idaho,0,0,0,--,--,--,0,0,0,0,0,0,"1,583",0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,--,--,0,0,--,0,0,0,--,0,0,"1,650"
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,307",474,0,0,70,0,0,0,0,0,0,0,"2,383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,183,1146,"46,077"
Indiana,--,0,0,0,--,0,0,0,--,--,0,0,0,242,"10,081",0,--,121,--,0,--,0,--,--,0,--,0,0,0,0,0,--,0,--,0,--,--,0,--,0,--,0,--,--,0,0,0,--,0,--,0,0,0,0,--,0,--,"10,557"
Iowa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,874",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,947,0,"5,821"
Kansas,0,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,"4,717",--,--,0,--,--,--,--,--,"4,404",--,--,0,0,--,0,--,--,--,--,93,--,--,0,--,--,--,--,0,0,--,0,--,--,--,0,--,--,0,0,0,"9,410"
